city,province,year,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,heavy_rain_days_gt25mm,very_heavy_days_gt50mm,extreme_days_gt100mm,max_daily_precip_mm,avg_daily_precip_mm
Lodhran,Punjab,2005,234.6,234.6,0.0,338.0,74,0,0,0,18.0,0.64
Lodhran,Punjab,2006,221.0,221.0,0.0,307.0,86,0,0,0,19.2,0.61
Lodhran,Punjab,2007,183.5,183.5,0.0,323.0,89,0,0,0,13.2,0.5
Lodhran,Punjab,2008,271.8,271.8,0.0,381.0,88,1,1,0,57.3,0.74
Lodhran,Punjab,2009,96.1,96.1,0.0,186.0,64,0,0,0,12.0,0.26
Lodhran,Punjab,2010,296.1,296.1,0.0,361.0,66,3,0,0,33.2,0.81
Lodhran,Punjab,2011,305.2,305.2,0.0,415.0,88,1,0,0,29.8,0.84
Lodhran,Punjab,2012,230.8,230.8,0.0,335.0,75,1,0,0,31.4,0.63
Lodhran,Punjab,2013,255.7,255.7,0.0,341.0,71,0,0,0,22.5,0.7
Lodhran,Punjab,2014,130.1,130.1,0.0,235.0,74,0,0,0,11.2,0.36
Lodhran,Punjab,2015,427.8,427.8,0.0,460.0,81,3,1,0,63.6,1.17
Lodhran,Punjab,2016,158.9,158.9,0.0,256.0,74,0,0,0,10.9,0.43
Lodhran,Punjab,2017,286.2,286.2,0.0,311.0,89,1,0,0,33.2,0.78
Lodhran,Punjab,2018,100.2,100.2,0.0,150.0,48,0,0,0,21.9,0.27
Lodhran,Punjab,2019,263.4,263.4,0.0,366.0,97,0,0,0,20.1,0.72
Lodhran,Punjab,2020,348.4,348.4,0.0,364.0,73,2,1,0,94.8,0.95
Lodhran,Punjab,2021,66.0,66.0,0.0,130.0,43,0,0,0,11.6,0.18
Lodhran,Punjab,2022,423.7,423.7,0.0,434.0,75,4,0,0,35.1,1.16
Lodhran,Punjab,2023,225.1,225.1,0.0,244.0,83,0,0,0,21.9,0.62
Lodhran,Punjab,2024,314.3,314.3,0.0,298.0,69,2,0,0,43.5,0.86
Lodhran,Punjab,2025,141.6,141.6,0.0,175.0,55,0,0,0,22.5,0.39
Multan,Punjab,2000,166.7,166.7,0.0,216.0,56,1,0,0,26.6,0.46
Multan,Punjab,2001,245.2,245.2,0.0,304.0,84,1,0,0,29.2,0.67
Multan,Punjab,2002,154.8,154.8,0.0,209.0,62,0,0,0,21.5,0.42
Multan,Punjab,2003,292.1,292.1,0.0,395.0,81,1,0,0,31.9,0.8
Multan,Punjab,2004,192.0,192.0,0.0,277.0,66,1,0,0,29.3,0.52
Multan,Punjab,2005,344.6,344.6,0.0,450.0,103,0,0,0,20.2,0.94
Multan,Punjab,2006,320.6,320.6,0.0,396.0,104,0,0,0,23.3,0.88
Multan,Punjab,2007,288.9,288.9,0.0,389.0,89,0,0,0,19.0,0.79
Multan,Punjab,2008,396.2,396.2,0.0,474.0,94,1,0,0,40.7,1.08
Multan,Punjab,2009,203.3,203.3,0.0,258.0,77,0,0,0,14.9,0.56
Multan,Punjab,2010,390.5,390.5,0.0,454.0,82,3,1,0,50.6,1.07
Multan,Punjab,2011,371.5,371.5,0.0,465.0,102,0,0,0,22.7,1.02
Multan,Punjab,2012,366.5,366.5,0.0,437.0,101,3,0,0,38.0,1.0
Multan,Punjab,2013,297.6,297.6,0.0,383.0,83,0,0,0,23.0,0.82
Multan,Punjab,2014,229.2,229.2,0.0,284.0,78,0,0,0,15.6,0.63
Multan,Punjab,2015,457.1,457.1,0.0,524.0,108,4,0,0,35.5,1.25
Multan,Punjab,2016,216.3,216.3,0.0,340.0,86,0,0,0,20.7,0.59
Multan,Punjab,2017,291.5,291.5,0.0,352.0,108,0,0,0,23.5,0.8
Multan,Punjab,2018,125.5,125.5,0.0,200.0,59,0,0,0,11.7,0.34
Multan,Punjab,2019,395.6,395.6,0.0,445.0,103,1,0,0,31.0,1.08
Multan,Punjab,2020,349.2,349.2,0.0,416.0,74,2,1,0,82.9,0.95
Multan,Punjab,2021,101.6,101.6,0.0,168.0,49,0,0,0,14.3,0.28
Multan,Punjab,2022,488.4,488.4,0.0,479.0,82,2,0,0,33.5,1.34
Multan,Punjab,2023,295.2,295.2,0.0,266.0,86,1,0,0,27.5,0.81
Multan,Punjab,2024,391.0,391.0,0.0,371.0,84,2,0,0,31.9,1.07
Multan,Punjab,2025,201.7,201.7,0.0,180.0,58,2,0,0,31.4,0.55
Muzaffargarh,Punjab,2000,118.5,118.5,0.0,154.0,46,0,0,0,19.0,0.32
Muzaffargarh,Punjab,2001,198.0,198.0,0.0,241.0,73,0,0,0,24.0,0.54
Muzaffargarh,Punjab,2002,105.4,105.4,0.0,152.0,58,0,0,0,16.9,0.29
Muzaffargarh,Punjab,2003,262.7,262.7,0.0,336.0,77,0,0,0,22.9,0.72
Muzaffargarh,Punjab,2004,182.9,182.9,0.0,232.0,60,1,0,0,34.4,0.5
Muzaffargarh,Punjab,2005,286.8,286.8,0.0,379.0,92,0,0,0,20.0,0.79
Muzaffargarh,Punjab,2006,269.2,269.2,0.0,347.0,100,0,0,0,24.8,0.74
Muzaffargarh,Punjab,2007,226.9,226.9,0.0,327.0,91,0,0,0,14.1,0.62
Muzaffargarh,Punjab,2008,331.3,331.3,0.0,416.0,91,1,0,0,45.6,0.91
Muzaffargarh,Punjab,2009,144.5,144.5,0.0,217.0,76,0,0,0,12.2,0.4
Muzaffargarh,Punjab,2010,420.9,420.9,0.0,394.0,78,3,1,0,77.5,1.15
Muzaffargarh,Punjab,2011,340.3,340.3,0.0,394.0,86,1,0,0,33.0,0.93
Muzaffargarh,Punjab,2012,329.9,329.9,0.0,390.0,86,3,0,0,44.1,0.9
Muzaffargarh,Punjab,2013,253.9,253.9,0.0,345.0,72,0,0,0,22.4,0.7
Muzaffargarh,Punjab,2014,162.6,162.6,0.0,232.0,81,0,0,0,17.7,0.45
Muzaffargarh,Punjab,2015,461.6,461.6,0.0,465.0,99,3,1,0,56.4,1.26
Muzaffargarh,Punjab,2016,184.4,184.4,0.0,275.0,77,0,0,0,20.6,0.5
Muzaffargarh,Punjab,2017,290.7,290.7,0.0,357.0,100,0,0,0,18.7,0.8
Muzaffargarh,Punjab,2018,108.1,108.1,0.0,175.0,64,0,0,0,14.3,0.3
Muzaffargarh,Punjab,2019,423.1,423.1,0.0,495.0,107,1,0,0,30.0,1.16
Muzaffargarh,Punjab,2020,366.6,366.6,0.0,444.0,81,3,1,0,68.5,1.0
Muzaffargarh,Punjab,2021,90.9,90.9,0.0,166.0,44,0,0,0,11.6,0.25
Muzaffargarh,Punjab,2022,473.2,473.2,0.0,518.0,81,2,0,0,33.7,1.3
Muzaffargarh,Punjab,2023,290.7,290.7,0.0,271.0,85,0,0,0,22.6,0.8
Muzaffargarh,Punjab,2024,380.3,380.3,0.0,405.0,79,4,0,0,41.7,1.04
Muzaffargarh,Punjab,2025,158.7,158.7,0.0,164.0,49,0,0,0,22.7,0.43
Rawalpindi,Punjab,2000,587.3,587.3,0.0,807.0,135,4,0,0,46.4,1.6
Rawalpindi,Punjab,2001,790.1,790.1,0.0,949.0,139,6,1,0,75.2,2.16
Rawalpindi,Punjab,2002,787.4,787.4,0.0,862.0,133,8,2,0,62.1,2.16
Rawalpindi,Punjab,2003,1072.1,1072.1,0.0,1072.0,158,11,3,0,79.5,2.94
Rawalpindi,Punjab,2004,808.9,808.9,0.0,839.0,138,8,2,1,127.9,2.21
Rawalpindi,Punjab,2005,840.3,840.3,0.0,1143.0,161,4,0,0,35.9,2.3
Rawalpindi,Punjab,2006,825.9,825.9,0.0,994.0,152,5,1,1,116.9,2.26
Rawalpindi,Punjab,2007,919.4,919.4,0.0,946.0,147,10,2,1,104.6,2.52
Rawalpindi,Punjab,2008,878.4,878.4,0.0,1089.0,171,7,1,0,51.7,2.4
Rawalpindi,Punjab,2009,638.2,638.2,0.0,837.0,149,5,0,0,37.7,1.75
Rawalpindi,Punjab,2010,887.9,887.9,0.0,947.0,151,6,3,2,124.9,2.43
Rawalpindi,Punjab,2011,792.9,792.9,0.0,1026.0,157,5,1,0,59.4,2.17
Rawalpindi,Punjab,2012,820.7,820.7,0.0,995.0,157,5,1,1,160.5,2.24
Rawalpindi,Punjab,2013,965.5,965.5,0.0,980.0,146,9,4,0,95.3,2.65
Rawalpindi,Punjab,2014,1101.0,1101.0,0.0,888.0,155,9,3,2,186.9,3.02
Rawalpindi,Punjab,2015,1109.4,1109.4,0.0,1224.0,166,9,2,0,74.4,3.04
Rawalpindi,Punjab,2016,613.4,613.4,0.0,784.0,135,3,0,0,34.8,1.68
Rawalpindi,Punjab,2017,924.1,924.1,0.0,1042.0,171,5,2,0,56.5,2.53
Rawalpindi,Punjab,2018,872.3,872.3,0.0,921.0,153,7,3,1,144.0,2.39
Rawalpindi,Punjab,2019,848.8,848.8,0.0,1133.0,166,6,0,0,40.1,2.33
Rawalpindi,Punjab,2020,1209.9,1209.9,0.0,1201.0,159,11,2,1,103.5,3.31
Rawalpindi,Punjab,2021,704.1,704.1,0.0,776.0,147,6,1,0,69.3,1.93
Rawalpindi,Punjab,2022,907.8,907.8,0.0,796.0,127,7,1,0,53.7,2.49
Rawalpindi,Punjab,2023,934.4,934.4,0.0,836.0,167,4,0,0,46.9,2.56
Rawalpindi,Punjab,2024,1032.0,1032.0,0.0,840.0,136,9,1,0,65.8,2.82
Rawalpindi,Punjab,2025,1088.1,1088.1,0.0,887.0,149,14,3,0,59.6,2.98
Vehari,Punjab,2000,138.1,138.1,0.0,245.0,56,0,0,0,21.8,0.38
Vehari,Punjab,2001,220.4,220.4,0.0,319.0,74,0,0,0,17.9,0.6
Vehari,Punjab,2002,106.8,106.8,0.0,166.0,54,0,0,0,20.2,0.29
Vehari,Punjab,2003,252.8,252.8,0.0,346.0,75,0,0,0,21.7,0.69
Vehari,Punjab,2004,164.3,164.3,0.0,259.0,63,1,0,0,27.6,0.45
Vehari,Punjab,2005,304.3,304.3,0.0,405.0,84,1,0,0,34.3,0.83
Vehari,Punjab,2006,259.4,259.4,0.0,356.0,99,1,0,0,29.7,0.71
Vehari,Punjab,2007,223.9,223.9,0.0,372.0,92,0,0,0,19.9,0.61
Vehari,Punjab,2008,379.8,379.8,0.0,446.0,98,1,1,1,102.6,1.04
Vehari,Punjab,2009,131.2,131.2,0.0,214.0,69,0,0,0,14.7,0.36
Vehari,Punjab,2010,319.1,319.1,0.0,412.0,84,2,0,0,32.8,0.87
Vehari,Punjab,2011,293.4,293.4,0.0,469.0,102,0,0,0,20.2,0.8
Vehari,Punjab,2012,262.6,262.6,0.0,358.0,78,1,0,0,32.0,0.72
Vehari,Punjab,2013,260.9,260.9,0.0,390.0,80,0,0,0,20.5,0.71
Vehari,Punjab,2014,196.4,196.4,0.0,300.0,83,0,0,0,18.3,0.54
